type	ERR1877652.nucleotide	ERR1877657.nucleotide	ERR1877675.nucleotide	ERR1877693.nucleotide	ERR1877694.nucleotide	ERR1877709.nucleotide	ERR1877710.nucleotide	ERR1877713.nucleotide	ERR1877714.nucleotide	ERR1877719.nucleotide	ERR1877720.nucleotide	ERR1877722.nucleotide	ERR1877727.nucleotide	ERR1877734.nucleotide	ERR1877740.nucleotide	ERR1877743.nucleotide	ERR1877744.nucleotide	ERR1877745.nucleotide	ERR1877746.nucleotide	ERR1877749.nucleotide	ERR1877757.nucleotide	ERR1877776.nucleotide	ERR1877786.nucleotide	ERR1877788.nucleotide	ERR1877789.nucleotide	ERR1877793.nucleotide	ERR1877794.nucleotide	ERR1877808.nucleotide	ERR5001906.nucleotide	ERR5001907.nucleotide	ERR5001908.nucleotide	ERR5001909.nucleotide	ERR5001910.nucleotide	ERR5001911.nucleotide	ERR5002076.nucleotide	ERR5003185.nucleotide	ERR5003186.nucleotide	ERR5003187.nucleotide	ERR5003188.nucleotide	ERR5003189.nucleotide	ERR5003190.nucleotide	ERR5003355.nucleotide	ERR5003360.nucleotide	ERR5003361.nucleotide	ERR5003402.nucleotide	ERR5003403.nucleotide	ERR5003766.nucleotide	ERR5003767.nucleotide	ERR5003768.nucleotide	ERR5003769.nucleotide	ERR5003770.nucleotide	ERR5003771.nucleotide	ERR5004095.nucleotide	ERR5004096.nucleotide	ERR5004097.nucleotide	ERR5004098.nucleotide	ERR5004099.nucleotide	ERR5004100.nucleotide	ERR5004101.nucleotide	ERR5004102.nucleotide	ERR5004103.nucleotide	ERR5004104.nucleotide	ERR5004108.nucleotide	ERR5004117.nucleotide	ERR5004119.nucleotide	ERR5004120.nucleotide	ERR5004125.nucleotide	ERR5004128.nucleotide	ERR5004139.nucleotide	ERR5004140.nucleotide	ERR5004141.nucleotide	ERR5004143.nucleotide	ERR5004145.nucleotide	ERR5004553.nucleotide	ERR5004554.nucleotide	ERR5004555.nucleotide	ERR5004556.nucleotide	ERR5004557.nucleotide	ERR5004558.nucleotide	ERR5004882.nucleotide	ERR5004883.nucleotide	ERR5004884.nucleotide	ERR5004885.nucleotide	ERR5004886.nucleotide	ERR5004887.nucleotide	ERR5004888.nucleotide	ERR5004889.nucleotide	ERR5004892.nucleotide	ERR5004900.nucleotide	ERR5004901.nucleotide	ERR5004905.nucleotide	ERR5004910.nucleotide	ERR5004923.nucleotide	ERR5004925.nucleotide	ERR5004926.nucleotide	ERR5004927.nucleotide	ERR5004928.nucleotide	ERR5004930.nucleotide	ERR5004932.nucleotide	ERR5005166.nucleotide	ERR5005322.nucleotide	ERR5005323.nucleotide	SRR1026851.nucleotide	SRR11425435.nucleotide	SRR11425437.nucleotide	SRR11805817.nucleotide	SRR12417989.nucleotide	SRR18397972.nucleotide	SRR3208464.nucleotide	SRR3208465.nucleotide	SRR3208466.nucleotide	SRR3208467.nucleotide	SRR3208468.nucleotide	SRR3208469.nucleotide	SRR3208470.nucleotide	SRR3208471.nucleotide	SRR3208472.nucleotide	SRR3208473.nucleotide	SRR3208474.nucleotide	SRR3208475.nucleotide	SRR3208476.nucleotide	SRR3208479.nucleotide	SRR3208480.nucleotide	SRR3208482.nucleotide	SRR3208483.nucleotide	SRR3327343.nucleotide	SRR6109212.nucleotide	SRR6201864.nucleotide	SRR7080218.nucleotide	SRR7151509.nucleotide	SRR7151538.nucleotide	SRR7151667.nucleotide	SRR8978346.nucleotide	SRR8978347.nucleotide	SRR8978348.nucleotide	SRR8978349.nucleotide	SRR8978352.nucleotide	SRR8978353.nucleotide	SRR8978384.nucleotide	SRR8978385.nucleotide	SRR8978386.nucleotide	SRR8978387.nucleotide	SRR8978388.nucleotide	SRR9161835.nucleotide	SRR9161836.nucleotide	SRR9161839.nucleotide	SRR9161840.nucleotide	SRR9161841.nucleotide	SRR9161842.nucleotide	SRR9161846.nucleotide	SRR9161850.nucleotide	SRR9161852.nucleotide	SRR9161854.nucleotide	SRR9161855.nucleotide	SRR9161858.nucleotide	SRR9733668.nucleotide	SRR9733675.nucleotide	SRR9943781.nucleotide
aminoglycoside	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	113.98187723982603	0.0	49.3252152353662	117.1644598634474	41.88107947808237	142.6045420537172	0.0	90.19831888148194	0.0	55.75124144733621	155.7086288442374	32.6367752421297	159.01963691988854	0.0	131.67126193984194	0.0	0.0	10.369982302588202	99.30693988551282	0.0	67.23475871418968	0.0	33.98282573121818	304.6890621332429	0.0	0.0	13.604281278201674	0.0	0.0	179.1080565223997	0.0	18.243141423250485	45.13159187913987	0.0	23.694234434546573	0.0	0.0	32.545783628279764	17.250422100578376	0.0	0.0	0.0	0.0	46.75102796160282	0.0	166.3607944792655	0.0	61.710475456121095	0.0	51.96022112625048	209.43023495152107	0.0	0.0	12.883325639840706	9.6152921606523	0.0	75.72638708251573	0.0	17.491958084833783	29.44054023626858	10.85261908861094	0.0	0.0	0.0	12.296870456306367	0.0	0.0	0.0	0.0	0.0	0.0	69.44877740389296	10.635379705177066	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	196.94562470658326	44.84283416218585	264.5196130319906	76.3717059460663	44.81279350432474	89.57799023496162	0.0	226.92692158880615	0.0	114.40136438875602	53.436409084268426	62.35979828840841	175.47543850831877	348.1182343764608	326.5239326221389	43.94093562813253	26.837367634028293	89.88993894841794	0.0	0.0	0.0	0.0	0.0	12.955815383569352	10.437803218183488	0.0	8.595726479857463	0.0	0.0	27.749640255810103	30.036172353273457	13.946894021122738	39.951498777954775	20.838880332421596	0.0	194.3486521532276	45.6869940663445	0.0	0.0	0.0	105.92201512820587	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.64728209216035
bacitracin	0.0	0.0	0.0	2.8767708426801417	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.84548205129241	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.982828409054367	0.0	6.521452186538574	20.450530922368436	16.560357713983972	64.52446217801585	40.84501058052116	42.35389270608947	4.2639806544903305	0.0	99.9693594584964	0.0	81.82065455102251	19.398685619482247	85.87488935831392	0.0	18.380835508597993	61.569872168594216	35.73821500195917	0.0	0.0	0.0	0.0	86.7391351187742	35.5106040079083	0.0	0.0	0.0	0.0	75.22311446082148	0.0	0.0	8.715930430280034	0.0	0.0	0.0	35.178441412821094	14.914590108285891	0.0	29.48665908545004	62.6276987371102	150.3343649977418	40.74782195760768	156.47459335942744	618.2112675185617	34.02154843225983	0.0	0.0	202.1859945357213	10.672319410054673	82.70882109934259	15.912904219592985	0.0	0.0	0.0	0.0	56.03935535182221	0.0	0.0	27.85771549238317	36.44514128449397	45.299351679497384	0.0	76.63043087168545	0.0	116.36203797875059	29.283756792074552	204.9702075429594	84.7328618259923	242.9324534014861	0.0	16.212105022372562	74.3614885806073	18.805178389495186	281.04640620396816	4.345122155222998	9.394401288337413	0.0	8.022992934992535	0.0	55.41378861302057	90.15867288491845	43.53831535019499	111.64554053158861	38.022163118882	40.36411662323488	28.844462007516867	75.12061553832372	0.0	0.0	35.30231066635569	52.852088897802695	37.226306202328395	0.0	152.64060790412057	0.0	41.160469225638934	17.619453702530635	35.151463555004554	0.0	20.884014109247236	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.81746693474655	0.0	0.0	0.0	0.0	0.0	10.023827238776205	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.14389200773901	0.0	4.852354592449865
beta_lactam	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.372847336083378	0.0	13.090506213854802	31.136882624507905	15.933564244863978	70.48760928938735	19.92338422748552	11.110064543031157	0.0	19.024054519495607	0.0	15.417762283795861	50.29373181087743	0.0	49.115928645854964	0.0	0.0	16.376213851791118	0.0	0.0	20.136587224548922	324.2218581289904	21.69020519171848	133.05936700831742	17.903910428884593	0.0	23.365290405847876	7.457783352885154	39.79439984553405	55.26618301397375	0.0	8.360191283851835	0.0	11.667624384168201	18.898120515771282	0.0	33.18499639942789	0.0	0.0	149.94926011323213	54.538319231310986	0.0	0.0	75.8166452483069	446.3022519519029	0.0	0.0	9.415667267342297	147.58496392580724	29.815333837656816	90.18314489937578	0.0	0.0	22.12705241917606	7.262305257290257	0.0	62.9718420798976	0.0	8.01595033035014	104.55145331298823	8.655865375810539	21.599882565758463	0.0	23.773198362426022	0.0	30.61330636750037	29.674206882635545	91.4535889497726	0.0	75.3632166678954	0.0	11.509428574590904	8.096429642933202	0.0	0.0	0.0	0.0	0.0	0.0	21.09541085158482	52.54755816751952	55.949277572435655	41.286333521736644	55.50174969265906	72.11099901856932	0.0	27.352507076093584	0.0	0.0	0.0	22.38849352980231	19.39037363349735	0.0	0.0	0.0	0.0	21.433438704827083	8.857750941745007	29.058402673999574	0.0	9.538288736953062	0.0	0.0	0.0	10.333339157892171	16.650030511180912	7.134401755656413	6.8558060141461326	10.145809177641278	22.038421541693147	23.098311157892702	25.00158015067395	22.59414945805512	10.817631181086279	17.345916475424687	0.0	76.10856308098424	13.56386257137847	71.6463954693046	0.0	20.77091327711672	99.46798553258043	0.0	27.701705815640715	0.0	0.0	0.0	0.0	0.0	51.624560494985175
bleomycin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.030327627871387	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chloramphenicol	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.856690747719668	0.0	8.878724340594085	0.0	0.0	38.4107950367708	0.0	8.012885424897153	0.0	12.880648511869973	0.0	0.0	49.77611865227815	0.0	0.0	0.0	0.0	0.0	27.065731581991336	0.0	13.828174356497634	0.0	0.0	33.31563717738595	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.423142983617554	0.0	12.726202859933135	0.0	0.0	0.0	0.0	0.0	0.0	11.61267169160906	0.0	0.0	0.0	11.462421728423388	0.0	13.841021446344389	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.599164377298795	14.19699523435264	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.30373426480352	33.114154059032	33.129740105215475	0.0	0.0	0.0	18.374721014313998	35.30263056492576	47.41322628053149	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.84328606715975	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
defensin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.121927208163694	31.290903566926765	0.0	0.0	0.0	0.0	0.0	5.364418234421472	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.56536283561231	0.0	0.0	0.0	0.0	7.456065692114145	0.0	6.308851012622321	0.0	38.9648200666953	0.0	7.072168545052313	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
florfenicol	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.910499027151717	0.0	5.727591793708089	0.0	0.0	0.0	0.0	4.352489154598099	0.0	11.084355939064418	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.87766186044379	0.0	7.796914698478495	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.669855863835323	0.0	14.581980976114306	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.24280409190398	0.0	51.38033263627349	0.0	15.18649932359332	0.0	0.0	0.0	0.0	10.501241036665713	17.950494403287152	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fosfomycin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	137.62309181393834	0.0	0.0	0.0	0.0	115.00119256236688	0.0	111.90330791072309	0.0	0.0	0.0	0.0	111.96106143564684	0.0	0.0	0.0	0.0	0.0	78.11751266309153	0.0	20.167537379925506	0.0	0.0	154.5941437367909	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	111.8133577818844	0.0	0.0	0.0	0.0	147.41096230465837	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1045.6750878367072	69.76118526651466	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fusidic_acid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.193473770966861	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
macrolide-lincosamide-streptogramin	0.0	0.0	0.0	4.468928534257171	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	117.88734790624885	0.0	49.69452165321916	102.95691224429969	56.19192863905186	213.25095227786719	46.34803473799735	131.58755334698992	7.669965201674679	45.25428172882525	56.30466559387246	36.994876955283154	214.8424000821214	59.74278594210563	212.48985693636854	14.10995583809582	0.0	37.116058265752315	151.4411403331299	0.0	56.3027872341432	54.69153862830558	52.045585956778105	299.4935723680211	78.5387045780461	17.058118647812485	0.0	15.051989571981624	0.0	259.30402684198805	40.71908602916757	37.47087999142553	30.559503896073856	35.45081717809371	0.0	0.0	20.23475390209018	37.928289789394384	61.27384070981532	32.61985987420991	0.0	31.185949261335917	90.36818233973882	96.63957725206593	149.97038834682093	151.4690536784008	18.33759774168816	43.392551647215384	0.0	48.66846526232735	258.5170084362578	74.75716737466912	16.09768331800297	8.321150475607837	20.652028734446468	0.0	244.77170773360453	36.85017118378522	41.78654244595335	19.38230080392744	33.17416309490036	115.985876655637	0.0	0.0	47.54672292646436	185.98666025406612	0.0	33.22436872410606	75.33433377328585	96.06161516759941	74.76792037515553	105.58751409843987	47.52191839818158	31.606293799211787	0.0	0.0	2.7253033338919117	1.5106715226175504	1.1597021680724808	27.75256919409314	0.0	288.2483704871139	0.0	209.6986135522821	63.75667596153993	138.42597087369825	80.87636538493082	42.33231408409636	592.2954667952474	807.4058941516836	238.71965557534918	205.2589984097212	199.14547276813968	99.5912747051344	316.91828412303045	336.95500946321624	134.902542759633	95.17738243712223	77.91100854219766	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.139089533595628	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	101.3739942060397	137.52139145244044	58.14560630390367	169.21687782676796	0.0	101.24983452963077	134.66939740292761	241.86113107809115	776.4626226422713	3.6962984572345134	0.0	42.6238644976542
