Run Accession	Binomial name	Diet	Class	Climatic region	NMDS1	NMDS2
CRR280733	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000267253	1.34E-06
CRR280734	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000270786	5.05E-06
CRR280735	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000259895	-2.29E-06
CRR280736	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000278458	1.59E-05
CRR280737	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000260821	3.61E-06
CRR280738	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000276244	1.02E-05
CRR280739	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000264589	-3.99E-06
CRR280740	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000263798	4.02E-06
CRR280741	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000266276	-4.43E-09
CRR280742	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000282348	1.54E-05
CRR280743	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000272347	5.10E-06
CRR280744	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000262045	-4.20E-05
CRR280745	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000269335	1.77E-06
CRR280746	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000279022	1.54E-05
CRR280747	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000273427	1.65E-05
CRR280748	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000280799	1.73E-05
CRR280749	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000268022	-1.50E-07
CRR280750	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000288537	1.52E-05
CRR280751	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000277318	6.45E-06
CRR280752	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000275623	9.26E-06
CRR280753	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000275429	9.23E-06
CRR280754	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000265465	3.01E-06
CRR280755	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000261271	1.08E-05
CRR280756	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000276521	1.13E-05
CRR280757	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000263114	2.00E-06
CRR280758	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000268447	4.96E-06
CRR280759	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000267485	9.00E-06
CRR280760	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000272246	1.17E-05
CRR280761	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000264626	8.68E-07
CRR280762	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000271817	8.49E-06
CRR280763	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000267009	3.39E-06
CRR280764	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000257349	-5.14E-06
CRR280765	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000291275	3.09E-05
CRR280766	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000296517	2.77E-05
CRR280767	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000263883	1.18E-05
CRR280768	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000249925	7.07E-06
CRR280769	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000294313	2.36E-05
CRR280770	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000285812	1.15E-05
CRR280771	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000274148	7.98E-06
CRR280772	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000261622	4.85E-06
CRR280773	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000293912	1.93E-05
CRR280774	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000287981	2.12E-05
CRR280775	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000272275	6.94E-06
CRR280776	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.0002866	1.43E-05
CRR280777	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000290816	2.51E-05
CRR280778	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000264076	1.54E-06
CRR280779	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000275292	7.43E-06
CRR280780	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000265293	4.79E-06
CRR280781	Macaca mulatta vestita	Omnivorous	Mammalia	Subtropical	0.000275328	1.11E-05
ERR1958188	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.00042741	4.17E-05
ERR1958189	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000408376	4.91E-05
ERR1958190	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000448128	7.18E-05
ERR1958191	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000612164	8.94E-05
ERR1958192	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000460268	6.65E-05
ERR1958193	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000354541	-3.68E-05
ERR1958194	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000531977	0.000112783
ERR1958195	Propithecus verreauxi	Herbivorous	Mammalia	Tropical	0.000450974	6.70E-05
