X.SampleID	Host	shannon_2	shannon	faith_pd	observed_features	evenness
CRR280733	Macaca mulatta	6.1	6.02533266	39.37853925	399	0.697356696
CRR280734	Macaca mulatta	5.87	5.863648954	31.41129689	377	0.685132123
CRR280735	Macaca mulatta	6.76	6.630627843	36.50446807	478	0.744941811
CRR280736	Macaca mulatta	5.6	5.516840995	24.60595581	314	0.665110698
CRR280737	Macaca mulatta	7.16	7.092803356	36.66816363	535	0.78257687
CRR280738	Macaca mulatta	6.37	6.337643477	31.64460881	426	0.725570025
CRR280739	Macaca mulatta	3.55	3.500451379	31.31979852	362	0.411825276
CRR280740	Macaca mulatta	6.07	5.976242401	33.78282334	425	0.684460433
CRR280741	Macaca mulatta	6.29	6.247927614	32.91760653	411	0.719559082
CRR280742	Macaca mulatta	5.57	5.545807705	24.93407651	327	0.66391838
CRR280743	Macaca mulatta	6.28	6.272480756	40.78063488	424	0.718668415
CRR280744	Macaca mulatta	5.68	5.669735073	23.02886649	264	0.70480573
CRR280745	Macaca mulatta	7.05	7.009312485	38.61113842	545	0.771091947
CRR280746	Macaca mulatta	6.28	6.260058567	29.55201949	352	0.740009359
CRR280747	Macaca mulatta	6.61	6.600750121	39.27763037	530	0.72937686
CRR280748	Macaca mulatta	5.92	5.934725398	28.07955721	372	0.695001174
CRR280749	Macaca mulatta	5.47	5.492150968	22.16976798	263	0.683195213
CRR280750	Macaca mulatta	5.06	5.010166842	23.05323884	280	0.616311037
CRR280751	Macaca mulatta	6.55	6.469411373	33.49178804	436	0.737827939
CRR280752	Macaca mulatta	5.71	5.662498151	29.35608444	361	0.666501268
CRR280753	Macaca mulatta	6.61	6.544281051	40.53760888	446	0.74359226
CRR280754	Macaca mulatta	6.96	6.893431914	41.14391197	559	0.755303509
CRR280755	Macaca mulatta	6.43	6.335569159	38.13821985	537	0.698613304
CRR280756	Macaca mulatta	5.9	5.891235157	25.81571952	321	0.707534384
CRR280757	Macaca mulatta	7.34	7.251987374	38.46582721	561	0.794141586
CRR280758	Macaca mulatta	6.65	6.576188417	35.83053741	462	0.742925312
CRR280759	Macaca mulatta	6.35	6.294974504	40.95355936	481	0.706515156
CRR280760	Macaca mulatta	5.7	5.685876462	27.43636406	340	0.676134158
CRR280761	Macaca mulatta	7.01	6.932817991	39.54205115	560	0.759404433
CRR280762	Macaca mulatta	5.94	5.945410144	31.91154945	430	0.679615807
CRR280763	Macaca mulatta	6.92	6.826224167	37.27759797	530	0.754291536
CRR280764	Macaca mulatta	6.55	6.51468285	32.91453538	448	0.739686649
CRR280765	Macaca mulatta	6.83	6.81042798	30.82224898	398	0.788552042
CRR280766	Macaca mulatta	5.57	5.536571175	20.97652502	263	0.688720857
CRR280767	Macaca mulatta	7.18	7.109143752	37.97695094	534	0.784613434
CRR280768	Macaca mulatta	7.06	7.032212658	49.42251852	538	0.775201657
CRR280769	Macaca mulatta	6.73	6.661442621	34.47744624	452	0.755250279
CRR280770	Macaca mulatta	7.07	6.977423835	34.6854638	454	0.790504221
CRR280771	Macaca mulatta	6.84	6.778312354	36.96731741	454	0.767945972
CRR280772	Macaca mulatta	6.53	6.430362517	32.5930061	442	0.731728928
CRR280773	Macaca mulatta	6.22	6.177894559	32.83695611	406	0.712943459
CRR280774	Macaca mulatta	6.29	6.19349616	35.01332975	468	0.698223394
CRR280775	Macaca mulatta	7.2	7.157529292	40.97954561	555	0.785131553
CRR280776	Macaca mulatta	6.16	6.123989978	28.36339214	345	0.726412958
CRR280777	Macaca mulatta	6.53	6.518099873	31.19718454	403	0.75313391
CRR280778	Macaca mulatta	7.43	7.334889081	40.19041013	557	0.80412894
CRR280779	Macaca mulatta	6.64	6.619488611	44.19923241	485	0.741942011
CRR280780	Macaca mulatta	6.95	6.881509018	45.51679278	486	0.771053623
CRR280781	Macaca mulatta	6.88	6.850495712	44.1534702	539	0.754946982
ERR1958188	Propithecus verreauxi	5.62	5.593983806	16.14007584	137	0.788103483
ERR1958189	Propithecus verreauxi	5.83	5.826581736	24.17367181	141	0.816099142
ERR1958190	Propithecus verreauxi	5.52	5.5211224	34.88298159	135	0.780170449
ERR1958191	Propithecus verreauxi	5.13	5.143809893	14.28512981	122	0.742173544
ERR1958192	Propithecus verreauxi	5.51	5.509494632	18.85336387	119	0.799077629
ERR1958193	Propithecus verreauxi	5.92	5.911736569	19.24430524	142	0.826845547
ERR1958194	Propithecus verreauxi	5.61	5.597679642	24.92563623	117	0.814757276
ERR1958195	Propithecus verreauxi	5.67	5.680833801	30.62208808	130	0.808962725
ERR1958196	Propithecus verreauxi	5.55	5.527705179	24.77925523	132	0.784695615
ERR1958197	Propithecus verreauxi	5.11	5.109033842	14.50706961	112	0.750516743
ERR1958198	Propithecus verreauxi	5.32	5.289706898	36.0831561	130	0.753265428
ERR1958199	Propithecus verreauxi	5.54	5.525005141	17.30990961	123	0.795821908
ERR1958200	Propithecus verreauxi	5.65	5.619041377	26.37496456	127	0.804019873
ERR1958201	Propithecus verreauxi	5.65	5.629807047	15.58196509	126	0.806877051
ERR1958202	Propithecus verreauxi	5.3	5.285077553	41.47469457	126	0.757469617
ERR1958203	Propithecus verreauxi	5.21	5.187554018	14.85978303	119	0.7523845
ERR1958204	Propithecus verreauxi	5.62	5.625688584	15.71549563	130	0.801109929
ERR1958205	Propithecus verreauxi	5.3	5.275598587	33.76376733	129	0.752450091
