X.SampleID	Host	D	P	C	H	E	la	tmp
CRR280733	Macaca mulatta	1	6	1	2	1	25.021	13.85833333
CRR280734	Macaca mulatta	1	6	1	2	1	25.021	13.85833333
CRR280735	Macaca mulatta	1	6	1	2	1	25.021	13.85833333
CRR280736	Macaca mulatta	1	6	1	2	1	25.021	13.85833333
CRR280737	Macaca mulatta	1	6	1	2	1	25.021	13.85833333
CRR280738	Macaca mulatta	1	6	1	2	1	25.021	13.85833333
CRR280739	Macaca mulatta	1	6	1	2	1	25.021	13.85833333
CRR280740	Macaca mulatta	1	6	1	2	1	25.021	13.85833333
CRR280741	Macaca mulatta	1	6	1	2	1	25.021	13.85833333
CRR280742	Macaca mulatta	1	6	1	2	1	25.021	13.85833333
CRR280743	Macaca mulatta	1	6	1	2	1	25.021	13.85833333
CRR280744	Macaca mulatta	1	6	1	2	1	25.021	13.85833333
CRR280745	Macaca mulatta	1	6	1	2	1	25.021	13.85833333
CRR280746	Macaca mulatta	1	6	1	2	1	25.021	13.85833333
CRR280747	Macaca mulatta	1	6	1	2	1	25.021	13.85833333
CRR280748	Macaca mulatta	1	6	1	2	1	25.021	13.85833333
CRR280749	Macaca mulatta	1	6	1	2	1	25.021	13.85833333
CRR280750	Macaca mulatta	1	6	1	2	1	25.021	13.85833333
CRR280751	Macaca mulatta	1	6	1	2	1	25.021	13.85833333
CRR280752	Macaca mulatta	1	6	1	2	1	25.021	13.85833333
CRR280753	Macaca mulatta	1	6	1	2	1	25.021	13.85833333
CRR280754	Macaca mulatta	1	6	1	2	1	25.021	13.85833333
CRR280755	Macaca mulatta	1	6	1	2	1	25.021	13.85833333
CRR280756	Macaca mulatta	1	6	1	2	1	25.021	13.85833333
CRR280757	Macaca mulatta	1	6	1	2	1	25.021	13.85833333
CRR280758	Macaca mulatta	1	6	1	2	1	25.021	13.85833333
CRR280759	Macaca mulatta	1	6	1	2	1	25.021	13.85833333
CRR280760	Macaca mulatta	1	6	1	2	1	25.021	13.85833333
CRR280761	Macaca mulatta	1	6	1	2	1	25.021	13.85833333
CRR280762	Macaca mulatta	1	6	1	2	1	25.021	13.85833333
CRR280763	Macaca mulatta	1	6	1	2	1	25.021	13.85833333
CRR280764	Macaca mulatta	1	6	1	2	1	25.021	13.85833333
CRR280765	Macaca mulatta	1	6	1	2	1	25.021	13.85833333
CRR280766	Macaca mulatta	1	6	1	2	1	25.021	13.85833333
CRR280767	Macaca mulatta	1	6	1	2	1	25.021	13.85833333
CRR280768	Macaca mulatta	1	6	1	2	1	25.021	13.85833333
CRR280769	Macaca mulatta	1	6	1	2	1	25.021	13.85833333
CRR280770	Macaca mulatta	1	6	1	2	1	25.021	13.85833333
CRR280771	Macaca mulatta	1	6	1	2	1	25.021	13.85833333
CRR280772	Macaca mulatta	1	6	1	2	1	25.021	13.85833333
CRR280773	Macaca mulatta	1	6	1	2	1	25.021	13.85833333
CRR280774	Macaca mulatta	1	6	1	2	1	25.021	13.85833333
CRR280775	Macaca mulatta	1	6	1	2	1	25.021	13.85833333
CRR280776	Macaca mulatta	1	6	1	2	1	25.021	13.85833333
CRR280777	Macaca mulatta	1	6	1	2	1	25.021	13.85833333
CRR280778	Macaca mulatta	1	6	1	2	1	25.021	13.85833333
CRR280779	Macaca mulatta	1	6	1	2	1	25.021	13.85833333
CRR280780	Macaca mulatta	1	6	1	2	1	25.021	13.85833333
CRR280781	Macaca mulatta	1	6	1	2	1	25.021	13.85833333
ERR1958188	Propithecus verreauxi	2	6	0	2	5	-20.050	24.75833333
ERR1958189	Propithecus verreauxi	2	6	0	2	5	-20.050	24.75833333
ERR1958190	Propithecus verreauxi	2	6	0	2	5	-20.050	24.75833333
ERR1958191	Propithecus verreauxi	2	6	0	2	5	-20.050	24.75833333
ERR1958192	Propithecus verreauxi	2	6	0	2	5	-20.050	24.75833333
ERR1958193	Propithecus verreauxi	2	6	0	2	5	-20.050	24.75833333
ERR1958194	Propithecus verreauxi	2	6	0	2	5	-20.050	24.75833333
ERR1958195	Propithecus verreauxi	2	6	0	2	5	-20.050	24.75833333
ERR1958196	Propithecus verreauxi	2	6	0	2	5	-20.050	24.75833333
ERR1958197	Propithecus verreauxi	2	6	0	2	5	-20.050	24.75833333
ERR1958198	Propithecus verreauxi	2	6	0	2	5	-20.050	24.75833333
