SampleID      Host    shannon_2       shannon faith_pd        observed_features       evenness
CRR280733       Macaca mulatta  6.1     6.02533266      39.37853925     399     0.697356696
CRR280734       Macaca mulatta  5.87    5.863648954     31.41129689     377     0.685132123
CRR280735       Macaca mulatta  6.76    6.630627843     36.50446807     478     0.744941811
CRR280736       Macaca mulatta  5.6     5.516840995     24.60595581     314     0.665110698
CRR280737       Macaca mulatta  7.16    7.092803356     36.66816363     535     0.78257687
CRR280738       Macaca mulatta  6.37    6.337643477     31.64460881     426     0.725570025
CRR280739       Macaca mulatta  3.55    3.500451379     31.31979852     362     0.411825276
CRR280740       Macaca mulatta  6.07    5.976242401     33.78282334     425     0.684460433
CRR280741       Macaca mulatta  6.29    6.247927614     32.91760653     411     0.719559082
CRR280742       Macaca mulatta  5.57    5.545807705     24.93407651     327     0.66391838
CRR280743       Macaca mulatta  6.28    6.272480756     40.78063488     424     0.718668415
CRR280744       Macaca mulatta  5.68    5.669735073     23.02886649     264     0.70480573
CRR280745       Macaca mulatta  7.05    7.009312485     38.61113842     545     0.771091947
CRR280746       Macaca mulatta  6.28    6.260058567     29.55201949     352     0.740009359
CRR280747       Macaca mulatta  6.61    6.600750121     39.27763037     530     0.72937686
CRR280748       Macaca mulatta  5.92    5.934725398     28.07955721     372     0.695001174
CRR280749       Macaca mulatta  5.47    5.492150968     22.16976798     263     0.683195213
CRR280750       Macaca mulatta  5.06    5.010166842     23.05323884     280     0.616311037
CRR280751       Macaca mulatta  6.55    6.469411373     33.49178804     436     0.737827939
CRR280752       Macaca mulatta  5.71    5.662498151     29.35608444     361     0.666501268
