Sample	berger_parker	buzas_gibson	chao1	dominance	equitability	jost	jost1	reads	richness	robbins	simpson	shannon_e	shannon_2	shannon_10
CRR280733	0.131	0.00343	616.2	0.961	0.658	36.8	68.5	19974.0	614.0	0.330	0.0392	4.23	6.10	1.84
CRR280734	0.131	0.00293	537.9	0.957	0.648	32.5	58.5	19986.0	536.0	0.317	0.0426	4.07	5.87	1.77
CRR280735	0.130	0.00544	692.6	0.970	0.717	54.1	108.7	19969.0	691.0	0.244	0.0297	4.69	6.76	2.04
CRR280736	0.204	0.00243	469.6	0.918	0.632	20.0	48.5	19962.0	465.0	0.285	0.0817	3.88	5.60	1.69
CRR280737	0.104	0.00718	751.1	0.979	0.750	76.8	143.5	19984.0	750.0	0.249	0.0207	4.97	7.16	2.16
CRR280738	0.104	0.00415	563.8	0.968	0.698	45.0	82.8	19982.0	562.0	0.265	0.0321	4.42	6.37	1.92
CRR280739	0.589	0.000587	644.1	0.645	0.381	4.05	11.7	19965.0	636.0	0.485	0.355	2.46	3.55	1.07
CRR280740	0.170	0.00336	673.4	0.947	0.647	30.3	67.0	19929.0	667.0	0.406	0.0528	4.20	6.07	1.83
CRR280741	0.149	0.00392	591.6	0.961	0.683	39.9	78.2	19966.0	589.0	0.319	0.0389	4.36	6.29	1.89
CRR280742	0.190	0.00238	463.3	0.934	0.630	23.0	47.5	19970.0	460.0	0.312	0.0657	3.86	5.57	1.68
CRR280743	0.162	0.00388	613.0	0.954	0.678	35.8	77.6	19975.0	610.0	0.311	0.0455	4.35	6.28	1.89
CRR280744	0.187	0.00257	378.9	0.944	0.665	27.1	51.2	19962.0	372.0	0.319	0.0556	3.94	5.68	1.71
CRR280745	0.115	0.00664	757.4	0.976	0.738	66.6	132.5	19949.0	753.0	0.292	0.0244	4.89	7.05	2.12
CRR280746	0.113	0.00389	474.8	0.967	0.708	44.0	77.5	19951.0	467.0	0.321	0.033	4.35	6.28	1.89
CRR280747	0.122	0.00488	799.5	0.964	0.686	44.6	97.5	19971.0	793.0	0.369	0.0361	4.58	6.61	1.99
CRR280748	0.159	0.00303	516.6	0.952	0.657	30.8	60.5	19982.0	514.0	0.311	0.0483	4.10	5.92	1.78
CRR280749	0.147	0.00222	337.1	0.951	0.652	27.1	44.3	19965.0	334.0	0.275	0.0494	3.79	5.47	1.65
CRR280750	0.183	0.00167	447.3	0.921	0.576	17.5	33.5	19981.0	445.0	0.345	0.0793	3.51	5.06	1.52
